,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 10,1st Max Value PM 10,1st Max Hour PM 10,Arithmetic Mean PM 10
53,1,73,33.499722,-86.924167,2022-02-23,Alabama,Jefferson,Birmingham,10.0,11.0,23,11.0
54,1,73,33.499722,-86.924167,2022-02-24,Alabama,Jefferson,Birmingham,20.0,22.0,23,22.0
55,1,73,33.499722,-86.924167,2022-02-25,Alabama,Jefferson,Birmingham,6.0,6.0,23,6.0
56,1,73,33.499722,-86.924167,2022-02-26,Alabama,Jefferson,Birmingham,8.0,9.0,23,9.0
57,1,73,33.499722,-86.924167,2022-02-27,Alabama,Jefferson,Birmingham,5.0,5.0,23,5.0
58,1,73,33.499722,-86.924167,2022-02-28,Alabama,Jefferson,Birmingham,9.0,10.0,23,10.0
59,1,73,33.499722,-86.924167,2022-03-01,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
60,1,73,33.499722,-86.924167,2022-03-02,Alabama,Jefferson,Birmingham,32.0,35.0,23,35.0
61,1,73,33.499722,-86.924167,2022-03-03,Alabama,Jefferson,Birmingham,29.0,31.0,23,31.0
62,1,73,33.499722,-86.924167,2022-03-04,Alabama,Jefferson,Birmingham,51.0,55.0,23,55.0
63,1,73,33.499722,-86.924167,2022-03-05,Alabama,Jefferson,Birmingham,31.0,33.0,23,33.0
64,1,73,33.499722,-86.924167,2022-03-06,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
65,1,73,33.499722,-86.924167,2022-03-07,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
66,1,73,33.499722,-86.924167,2022-03-08,Alabama,Jefferson,Birmingham,7.0,8.0,23,8.0
67,1,73,33.499722,-86.924167,2022-03-09,Alabama,Jefferson,Birmingham,5.0,5.0,23,5.0
68,1,73,33.499722,-86.924167,2022-03-10,Alabama,Jefferson,Birmingham,9.0,10.0,23,10.0
69,1,73,33.499722,-86.924167,2022-03-11,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
70,1,73,33.499722,-86.924167,2022-03-12,Alabama,Jefferson,Birmingham,6.0,7.0,23,7.0
71,1,73,33.499722,-86.924167,2022-03-13,Alabama,Jefferson,Birmingham,9.0,10.0,23,10.0
72,1,73,33.499722,-86.924167,2022-03-14,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
73,1,73,33.499722,-86.924167,2022-03-15,Alabama,Jefferson,Birmingham,30.0,32.0,23,32.0
74,1,73,33.499722,-86.924167,2022-03-16,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
75,1,73,33.499722,-86.924167,2022-03-17,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
76,1,73,33.499722,-86.924167,2022-03-18,Alabama,Jefferson,Birmingham,12.0,13.0,23,13.0
77,1,73,33.499722,-86.924167,2022-03-19,Alabama,Jefferson,Birmingham,6.0,6.0,23,6.0
78,1,73,33.499722,-86.924167,2022-03-20,Alabama,Jefferson,Birmingham,10.0,11.0,23,11.0
79,1,73,33.499722,-86.924167,2022-03-21,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
80,1,73,33.499722,-86.924167,2022-03-22,Alabama,Jefferson,Birmingham,24.0,26.0,23,26.0
81,1,73,33.499722,-86.924167,2022-03-23,Alabama,Jefferson,Birmingham,10.0,11.0,23,11.0
82,1,73,33.499722,-86.924167,2022-03-24,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
83,1,73,33.499722,-86.924167,2022-03-25,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
84,1,73,33.499722,-86.924167,2022-03-26,Alabama,Jefferson,Birmingham,12.0,13.0,23,13.0
85,1,73,33.499722,-86.924167,2022-03-27,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
86,1,73,33.499722,-86.924167,2022-03-28,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
87,1,73,33.499722,-86.924167,2022-03-29,Alabama,Jefferson,Birmingham,38.0,41.0,23,41.0
88,1,73,33.499722,-86.924167,2022-03-30,Alabama,Jefferson,Birmingham,38.0,41.0,23,41.0
89,1,73,33.499722,-86.924167,2022-03-31,Alabama,Jefferson,Birmingham,12.0,13.0,23,13.0
90,1,73,33.499722,-86.924167,2022-04-01,Alabama,Jefferson,Birmingham,10.0,11.0,23,11.0
