,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI CO,1st Max Value CO,1st Max Hour CO,Arithmetic Mean CO
53,1,73,33.485556,-86.915,2022-02-23,Alabama,Jefferson,Fairfield,0.0,0.0,18,-0.075
54,1,73,33.485556,-86.915,2022-02-24,Alabama,Jefferson,Fairfield,2.0,0.2,10,0.020833
55,1,73,33.485556,-86.915,2022-02-25,Alabama,Jefferson,Fairfield,0.0,0.0,8,-0.033333
56,1,73,33.485556,-86.915,2022-02-26,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
57,1,73,33.485556,-86.915,2022-02-27,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
58,1,73,33.485556,-86.915,2022-02-28,Alabama,Jefferson,Fairfield,3.0,0.3,23,0.0375
59,1,73,33.485556,-86.915,2022-03-01,Alabama,Jefferson,Fairfield,5.0,0.4,1,0.225
60,1,73,33.485556,-86.915,2022-03-02,Alabama,Jefferson,Fairfield,6.0,0.5,7,0.266667
61,1,73,33.485556,-86.915,2022-03-03,Alabama,Jefferson,Fairfield,5.0,0.4,7,0.25
62,1,73,33.485556,-86.915,2022-03-04,Alabama,Jefferson,Fairfield,8.0,0.7,7,0.379167
63,1,73,33.485556,-86.915,2022-03-05,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.083333
64,1,73,33.485556,-86.915,2022-03-06,Alabama,Jefferson,Fairfield,0.0,0.0,0,-0.0375
65,1,73,33.485556,-86.915,2022-03-07,Alabama,Jefferson,Fairfield,0.0,0.0,0,-0.079167
66,1,73,33.485556,-86.915,2022-03-08,Alabama,Jefferson,Fairfield,0.0,0.0,0,-0.029167
67,1,73,33.485556,-86.915,2022-03-09,Alabama,Jefferson,Fairfield,1.0,0.1,9,-0.008333
68,1,73,33.485556,-86.915,2022-03-10,Alabama,Jefferson,Fairfield,2.0,0.2,22,-0.020833
69,1,73,33.485556,-86.915,2022-03-11,Alabama,Jefferson,Fairfield,5.0,0.4,1,0.20625
70,1,73,33.485556,-86.915,2022-03-12,Alabama,Jefferson,Fairfield,0.0,0.0,17,-0.070833
71,1,73,33.485556,-86.915,2022-03-13,Alabama,Jefferson,Fairfield,1.0,0.1,6,0.029167
72,1,73,33.485556,-86.915,2022-03-14,Alabama,Jefferson,Fairfield,2.0,0.2,2,0.091667
73,1,73,33.485556,-86.915,2022-03-15,Alabama,Jefferson,Fairfield,1.0,0.1,1,0.0125
74,1,73,33.485556,-86.915,2022-03-16,Alabama,Jefferson,Fairfield,2.0,0.2,22,-0.029167
75,1,73,33.485556,-86.915,2022-03-17,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.25
76,1,73,33.485556,-86.915,2022-03-18,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.120833
77,1,73,33.485556,-86.915,2022-03-19,Alabama,Jefferson,Fairfield,5.0,0.4,23,0.145833
78,1,73,33.485556,-86.915,2022-03-20,Alabama,Jefferson,Fairfield,6.0,0.5,2,0.279167
79,1,73,33.485556,-86.915,2022-03-21,Alabama,Jefferson,Fairfield,7.0,0.6,6,0.345833
80,1,73,33.485556,-86.915,2022-03-22,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.141667
81,1,73,33.485556,-86.915,2022-03-23,Alabama,Jefferson,Fairfield,2.0,0.2,7,0.166667
82,1,73,33.485556,-86.915,2022-03-24,Alabama,Jefferson,Fairfield,3.0,0.3,7,0.233333
83,1,73,33.485556,-86.915,2022-03-25,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.220833
84,1,73,33.485556,-86.915,2022-03-26,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.2
85,1,73,33.485556,-86.915,2022-03-27,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.2
86,1,73,33.485556,-86.915,2022-03-28,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.2
87,1,73,33.485556,-86.915,2022-03-29,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.183333
88,1,73,33.485556,-86.915,2022-03-30,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
89,1,73,33.485556,-86.915,2022-03-31,Alabama,Jefferson,Fairfield,2.0,0.2,21,0.1125
90,1,73,33.485556,-86.915,2022-04-01,Alabama,Jefferson,Fairfield,3.0,0.3,22,0.1625
91,1,73,33.485556,-86.915,2022-04-02,Alabama,Jefferson,Fairfield,5.0,0.4,2,0.2875
92,1,73,33.485556,-86.915,2022-04-03,Alabama,Jefferson,Fairfield,7.0,0.6,2,0.295833
93,1,73,33.485556,-86.915,2022-04-04,Alabama,Jefferson,Fairfield,5.0,0.4,6,0.245833
94,1,73,33.485556,-86.915,2022-04-05,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.145833
95,1,73,33.485556,-86.915,2022-04-06,Alabama,Jefferson,Fairfield,2.0,0.2,14,0.133333
96,1,73,33.485556,-86.915,2022-04-07,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
97,1,73,33.485556,-86.915,2022-04-08,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
98,1,73,33.485556,-86.915,2022-04-09,Alabama,Jefferson,Fairfield,3.0,0.3,23,0.120833
99,1,73,33.485556,-86.915,2022-04-10,Alabama,Jefferson,Fairfield,6.0,0.5,6,0.275
100,1,73,33.485556,-86.915,2022-04-11,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
102,1,73,33.485556,-86.915,2022-04-13,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
103,1,73,33.485556,-86.915,2022-04-14,Alabama,Jefferson,Fairfield,2.0,0.2,21,0.1125
104,1,73,33.485556,-86.915,2022-04-15,Alabama,Jefferson,Fairfield,5.0,0.4,6,0.2
105,1,73,33.485556,-86.915,2022-04-16,Alabama,Jefferson,Fairfield,2.0,0.2,23,0.104167
106,1,73,33.485556,-86.915,2022-04-17,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.1375
107,1,73,33.485556,-86.915,2022-04-18,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
108,1,73,33.485556,-86.915,2022-04-19,Alabama,Jefferson,Fairfield,3.0,0.3,23,0.116667
109,1,73,33.485556,-86.915,2022-04-20,Alabama,Jefferson,Fairfield,5.0,0.4,2,0.183333
110,1,73,33.485556,-86.915,2022-04-21,Alabama,Jefferson,Fairfield,2.0,0.2,21,0.1125
111,1,73,33.485556,-86.915,2022-04-22,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.1625
